Metin_Veri,Kategori
Filmde sinema tadı yoktu. Bir dizinin bir bölümü gibiydi. Televizyonda da izlemeniz mümkündür.Artık çok daha özgün yapımlar istiyoruz.Televizyondaki bir haftada çekilen dizi bölümlerindeki kalitenin üzerinde filmlerin sinema perdesine taşınmasını bekliyoruz. Türk izleyicisinin sinemayla barışmış olmasına güvenilmemeli. Eğer kalitesizliğe devam ederseniz bu altın yumurtlayan tavuğu boğazladığınızın resmidir.,negatif
bu gün izledim filmi. Beğenmedim. yani saçma sapan bir akış var. beren hanım toplasan 10 cümle ya kuruyor ya kurmuyor. garip bi şey olmuş. seyirciye aktarılan herhangi bir duygu açıkçası bulamadım. Sinemaya gitmeden tekrar düşünün derim.,negatif
"Az önce filmden çıktım. Açıkçası verdiğim paraya ve giden vaktime üzüldüm. Film komedi desen komedi değil, dram desen dram değil, öyle arada derede kalmış. Orta seviye bir tansiyonda başlıyor ve hep aynı tansiyonda devam ediyor ne iniş var ne de çıkış. Hadi bir şey olsun artık diye bekleyip duruyorsunuz. İzlerken bitse de gitsek şeklinde izledim, yani bu kadar sıkıldığım nadir olur sinemada. Açık konuşmak gerekirse çoğu insana çok komik gelen Ersin Korkut tepkileri ile komedi ve Yılmaz Erdoğan drama tarzı, karıştırılıp bir film yapılmaya çalışılmış diyebilirim. Ama maalesef hiç olmamış.",negatif
"Film ile ilgili görüşler iki kutupta toplanıyor. Ben de beğenmeyenler tarafındayım. Bugün izledim filmi ve filmin hikayesini zayıf buldum. Yılmaz Erdoğanın bireysel olarak en iyi performansı ve geçmiş karakterlerine göre daha farklı bir karakter oluşturmuş. Sahneler iyi çekilmiş, detaylara önem verilmiş, teknik olarakta sorun yok, diyaloglar iyi ama hikaye çok sığ. Diğer arkadaşların dediği gibi Kemal sunal filmlerinin daha iyi oyunculuk, daha iyi teknik ile çekilmiş hali. Ayrıca BKM Mutfak oyuncuları herbirinin filme dahil edilme çabası filmin bütünlüğünü ve inandırıcılığını bozmuş. Diğer bir eleştiri de tempoyla ilgili (yine senaryo sorunu). Film başından sonuna aynı tempoda gidiyor. Bir şey olur diye sonuna kadar beklerken sonu geldi hale bir şey olmadı.",negatif
Film konu olarak da kadro olarak da beni tatmin etmedi. Issız Adam'ın anlam veremediğim çıkışından sonra gene garip ilişkiler üzerine ve gene Melis Birkan'la film çekilmesi süpriz olmadı. Bizde tutulan bişey mutlaka tekrarlanır. Entel kesimin övgülerine mazhar olacağına emin olduğum bi film daha. Ben Issız Adam'ı izleyene kadar okuduğum tüm gazetelerde yere göğe sığdırılamamıştı.İzlediğimde bumu bu kadar övülen şey demiştim. Boşa giden bir süreydi film süresi benim için. Bunun da aynı kaderi paylaşacağına eminim.,negatif
Piyasadaki yapımları eleştirmek amacıyla çekilmiş bir piyasa filmi. Sinemada izlediğime pişman oldum. Bütün oyuncular vasat bir performans sergilemiş bence. Biri dışında. Ahmet Çakarın sahneleri bu yüzden evrilip çevrilip verilmişti. Televizyon aptal kutusu sinemayı da öyle yapalım zihniyeti güdülmüş gibi geldi bana. Halbuki daha felsefi ve daha duygusal bir yapım beklemiştim. Bu şekilde tek kısım sevgili Metin Uca'nın yorumları olacak. Keşke televizyonun bu kadar hayatımıza girdiği dönemde bu kadar sığ bir film yerine daha çok irdeleyen bir şey olsaymış. Anlaşılan güldürürken düşündürme işi Nasrettin Hocadan sonra öldü.,negatif
neye üzülüyorum biliyormusunuz.adil olmak başka gelişi güzel konuşmak başka burada çogu arkadaş filmi savunuyor.avukatlıgını yapıyor bende diyorum ki arkadaş bu filim sırf filim olsun diye çekilmiş.okadar boş aptalca taklit bir filim.ben paramı hakettigine inandıgım filimlere vermek istiyorum bence bu filim benim paramı haketmiyor.hatta üstüne para verseler yine gitmem..oyunculara sözümyok sanatcı her rolü oynar saygım var.ama yapımcılar için düşündüklerim bunlar.bence asla gidilmez can sıkıcı,negatif
vakit kaybından başka bir şey değil. Sinemadan ne anlar bunlar ya? sıkıldık artık bu filmlerden,negatif
Böyle filmler çekilecekse Türk sineması sonunda ne olacak? Geçen hafta Türkler Çıldırmış Olmalı şimdi Abimm insanı soğutuyorlar. ,negatif
"Yağmur Adamla ilgisi yok diyen arkadaş ya hayatında Rain Man filmini izlememiş, ya da fazlasıyla taraflı bir biçimde yersiz bir savunu yapmaya çalışmış.  Film vizyona girmeden yorum yapanlara lanet okuyanlar ve izlemeden eleştirmekle suçlayanlar ya vizyon öncesi Gala izlemelerinden haberleri yok, ya da olumsuz fikirlere tahammülleri yok.  Ayrıca şunu da belirteyim; bu sektörde çalışan pek çok kişinin bir filmi vizyona girmeden görme şansı var bunu da unutmayın. ",negatif
"Konu deseniz konusu olmayan, BKM oyuncularına ve Yılmaz Erdoğan'a yakışmayan, sadece para kazanmak için yapılmış bir film. Bu arada alın teriyle çalışıp para kazanmakla üç günde milyarder olmak hayalleriyle batmak arasında dağlar kadar fark var. Yılmaz Erdoğan şimdi çok neşelidir herhalde, filmdeki kahramanın yapamadığı gibi kazandı bedavadan parayı.",negatif
"Filmi izlerken çok sıkıldım, Yılmaz Erdoğan'ın en kötü oyunculuğuydu.Bu filmi bu kadar abartanları anlayamıyorum, ya onlar bu işten anlamıyorlar ya da yalan yere destek oluyorlar. Filmin konusu iyi olabilir ama oyunculuk ve filmi izlenir kılan başka şeyler de önemli olsa gerek!",negatif
Fragmanlarını izlediğimde çok beğenmiştim. Şunu düşündüm bu film Amerika yapımı olsaydı Levet Üzümcü Oscar adayı olabilirdi çünkü Forest Gump benzeri yada Yağmur Adam tadında bir filmdi...,pozitif
Sinemada 2 kez arkadaşlarımla izledim filimi herkesin ortak görüşü aynıydı izlemesi keyifli ve çok başarılı bir filim senaryosu hakkındaki yorumlara şiddetle karşı çıkıyorum ülkemizde bu denli güzel TÜRK yapımlarıda oluyo Her türlü Şiddetle tavsiye ederim görülmesi gereken bir filim.,pozitif
muhteşem bir oyunculuk sergilemiş ikiside levent üzümcünün zihinsel engelli bir kişiyi bu kadar başarılı oynayabileceğini düşünmezdim hiçbir abartı olmadan tüm duyguları yüreğimizin taaa içinde hissettirdi herikiside... filmde kahkahalarla güldüm ellerimi ağzıma kapatıp gerildim ve hıçkıra hıçkıra ağladım tüm bu duyguları aynı filme sığdıran tüm yapıma teşekkür ediyorum... İzlemeden yorum yapmayın ... Hiçbir yabancı filmle de kıyaslamayın....,pozitif
"Bence film çok hoştu ne bekleyerek gidiyor beğenmeyenler anlamadım, bizim paralarımızla devleşen yabancı film sektörünün bol hareketli ve efektli filimlerinden hoşlanıyosanız gitmeyin tabi. Ama unutmayalım ki perdeye düşen her Türk filmi ne zaman en az bir milyon seyirci toplar ise işte o zaman herkesin beğeneceği filimler çıkar ortaya...",pozitif
"İzleyin en ağır eleştiriyi yapın ama, lütfen filmi görmeden yorum yapmayın. Çok ama çok güzel bir film olmuş.Rain Man ile alakası yok.",pozitif
arkadaşlar neden filme gidip sonra yorum yapmıyosunuz herkese tavsiye ederim izleyip görsünler kararı izleyiciler verir çok güzel olmuş bi daha seyretmek isterim bu arada galada herkes ayakta alkışladı madem güzel değil onca kişi neden alkışladı peki neyse fazla yoruma gerek yok zaten herkese iyi seyirler emeğe saygı,pozitif
"Sinema sinemada izlenir felsefesi ile 28 yıldır düzenli olarak sinema salonlarına giderim.Bu filmi üç kez seyrettim,tek kelime ile mükemmel.Çekimleri,senaryosu,kurgusu ve çekim için seçilen yerler özellikle Gömbe/elmalı/antalya akdağ-subaşı yaylası her gitmemde hayran kaldığım bir yerdir.Burada tekrar bu filmde emeği geçenlere sonsuz teşekkürler,bu filmin orjinalini koleksiyonuma mutlaka katacağım.",pozitif
"Filmi üç kez izledim.Bazı yorumlarda iddia edilenin aksine hiç bir şekilde taraf tutmuyor,pek çok konuda özeleştiri de yapıyor.Finali, filmi beğenen pek çok kişinin hoşuna gitmesede bu final maalesef pek çok kez yaşandı..acı ama gerçek. Film çok iyi bir sese sahip bu sinemamız için çok güzel bir şey.Müzikler de çok güzel.Ayrıca yönetmen farklı açılardan hayata bakmaya çalışmış ve genelde iyi görüntüler sunmuş bize.. Filme getirilen eleştirilerden biri zaman zaman sıkıcı olduğu.90lı yılların başında Güneydoğudaki bir dağın başında yaşamak sıkıcıdır zaten ne bekliyorlar dı ki..Filmden çıkan bir hanım kızımız!! arkadaşları ile konuşurken recep ivedikte daha çok eğlendiğini söyledi.Kulaklarıma inanamadım.İnsanlar nasıl bu kadar ruhsuz olabiliyor. Sonuç itibariyle bulutların üzerindeki bir dünyada biz mışıl mışıl uyurken,uyumamak için mücadele edenlerin öyküsü.",pozitif
"Film teknik olarak çok başarılı. Kadrajları, kamera hareketleri ve mekanları özellikle sanat yönetimi çok başarılı. Oyuncuların kişisel performansları da çok sağlam. Bu filme teknik olarak kötü diyen kişi sinemadan anlamayan kişidir. Aksiyon sahneleri çok başarılı. Öyle amerikanvari bir aksiyon yok. Öz be öz Türk işi bu aksiyon ! Kaldı ki filmin bir derdi var. Günümüz siyasetine göndermelerde bulunuyor.  Karakol sahnelerinde mekan o kadar güzel işleniyor ki bir anda filmin içinde buluyorsunuz kendinizi. Genel görüntüleri çok başarılı. Dİyaloglar gerçekçi, monologlar sarsıcı. Türk Sinema tarhinin sayılı güzel eserlerinden.  Çekim aşaması çok sancılı geçmiş lakin bu film olmuş. Çekilen sancılara değmiş. ",pozitif
gerçeği görmek çoğu zaman zordur. para verip sinemaya gidip gerçeği görmeye herkes katlanamaz. katlanamayanları yorumlarından zaten anlıyoruz sanırım. bu film kimsenin görmek istemediği şeyleri gösterdi belkide gözlerini sımsıkı yumanlara. ama orada zaten vatan evlatları var orada zaten bir savaş var orada zaten pek çok acı var. şimdi yokmuş gibi mi davranalım? levent semerciye saygılarımla ...,pozitif
İlk bölümü belgesel tadında genel olarak askerliğin zorluğunu anlatan bir film olmuş. Filmin son sahneleri beni çok etkiledi film bittikten sonra 5 dk. koltuğunuzdan kalkamıyorsunuz.,pozitif
selen Seyven dışında çok güzel bir filmdi.Levent Üzümcü gerçekten iyi hazırlanmış rolüne. En azından beni etkilemeyi başardı. Fakat konu daha değişik sonlandırılabilirdi. Ama yine de hoş olmuş. Emeğinize sağlık.,pozitif
"film tam anlamıyla mükemmel bir konu bu kadar gerçekçi anlatılabilir ancak, askerlerin piskolojileri verdigi mesajlar şok eden sahneler, insanı şok eden derinden etkileyen bir film, hele benim gibi askerligini doğuda yapmış biri için. film insanı içine alıyor sanki o havayı soluyor ve yaşıyorsunuz,en azından orda yaşananları hiç bilmeyenler için iyi bir deneyim biraz belgesel tadı var filmde kesinlikle sinemada gidin ve izleyin pişman olmazsınız, özellikle mete horozoğlunun oyunculuğu çok güzel rolüne çok yakışmış, babam ve ben filmde emeği geçen herkesi tebrik ediyorum...",pozitif
"kendime bir liste yapsam en iyi on film arasına alırım. film, fotoğrafik açıdan mükemmel kadrajlara sahip. sanırım sırf bu açıdan bile bakıldığında bir devrim türk sineması için. içeriğine gelince. zaten damarımıza dokunan bir konu. ama tarafsız işlemiş yönetmen konuyu. bence kesinlikle gidip izleyin. ve şunu da belirteyim, mutlaka sinemada izleyin.",pozitif
Dün dayanamadım yine gittim filme yine ilk kez izlemişim gibi çok etkilendim. Ve tek başıma izlerim diye düşündüm inanamadım kaçıncı haftası 3 5 tane koltuk boştu! Ümraniye AFM sinemasının ne kadar büyük olduğunu giden bilir ve ona gore hesap yapın.,pozitif
"Benim açımdan çok keyifli ama bir o kadarda hüzünlediren bir filmdi. Eleştiren arkadaşların beklentisi nedir bilinmez ama yılmaz erdoğan filmlerinin her zaman bambaşka bir tadı vardır, şiir tadında bir gibi, bu da öyle olmuş.",pozitif
Bu filmi anlamak ve sevebilmek için işe geç kalmamak için en az bir kere otobüse minibüse depar atmış yada günde 12 saat para kazanabilmek için saçma sapan işler yapmış olmanız lazım. Hayatında para kazanmanın zor kısmını görmemiş veya ailesinin parasıyla yşayanların anlaması çok zor. filmdeki olayların kişilerin ve mekanların hepsi çok gerçekti.,pozitif
"Çok abartıldığı kadar bir film değil. Hele kesinlikle Yılmaz Erdoğan ın en iyi filmi değil. Ama bu dediklerim filmin sıcak ve sizi saran bir film olmasını değiştirmiyor. Sonuçta sıkmayan , gayet neşeli ve güzel oyunculuğun olduğu iyi bir film.",pozitif
"Bugüne dek izlediğim en iyi Yılmaz Erdoğan filmi ve yine bu yıl izlediğim en iyi film. Tek kelimeyle bir şaheser yaratmış usta bu kez. Vizonteleler, Organize İşler hep başarılı yapımlardı ancak bu bambaşka bir film olmuş. Rıza Şenyurt inanılmaz bir karakter. Tamamen içimizden biri. Harika bir gözlem ve analiz var bu karakteri oynarken Erdoğan da. Varoşlarda yaşayan, namuslu fakat boyundan büyük problemleri olan bir adamın, ailesini ayakta tutmak için verdiği mücadele süper. Karısı rolünde yine harika bir oyunculuk. Geleceğin Demet Akbağ ı geliyor bence. Her başarılı erkeğin ardında bir kadın vardır sözü bu karakter için söylenmiş işte. Anaç bir yapı ve aileyi bir arada tutma görevi üstlenmiş bir regülatör. Rıza Akın başlı başına fenomen. Sinan Bengier yılların deneyimini öyle güzel yansıtmış ki perdeye. Sakin ama bir o kadar da gıcık bir tipi oynuyor. Üstelik mücadelesinde de sonuna kadar haklı. Filmin tek kötü yanı Yılmaz Erdoğan için. Her yapımında ileri gitmek zorunda olduğunu düşünürsek, bundan sonra işi çok ama çok zor olacak. 6,3 gibi bu sitenin üyelerine olan güvenimi temelinden sarsan bir puana rağmen 10 üzerinden 10 hatta 11 diyorum.",pozitif
"Senaryosunun özgünlüğü yani tamamen bize, bu topraklara ait olması,kısıtlı bir bütçeyle zor koşullarda yapılmış olması ve bunun evrensel bir şekilde sunulması filmi bu zamana kadar yapılan en iyi türk filmleri arasına sokmaya yeterli.Oyuncuların performansı da hiç yabana atılacak türden değil. Özellikle filmin sonunda ki çatışma sahnesi çok gerçekçi anlatılmış. Emeği geçen herkesi kutluyorum.",pozitif
"kesinlikle ve kesinlikle, gelmiş geçmiş en iyi türk filmi, çekim teknikleri, anlatım tarzı, doğallığı, sömürü yapmaması ve ülkemzin yerlerde süründüğü aksiyon sahnelerindeki başarısıyla bu film zirvede. Sanıyorum büyük beklentilerle gidenler amerikan tarzı patlayan tanklar,uçaklar ve 500 milyon dolarlık bi yapım bekliyorlar,henüz sektör bile olamamış türk sinemasından bahsediyoruz, ayriyeten bu film kesinlikle salt savaş dan bahsetmiyor,karakterlerin de ruh halleri detaylandırılmış yani piskolojik yanı da var.Gönül rahatlığıyla gidilebilir.",pozitif
"Bir takım Amerikan sineması ve Rambo hayranlarının, konuşmaların anlaşılmadığı, sahnelerin çok karanlık olduğu vb yöndeki eleştirilerini üzüntüyle okudum. Filme burun kıvıranlara tek bir sözüm, filmin son derece gerçekçi ve başarılı olduğu yönündedir. Seslerin ve ışığın kullanımı mükemmeldir. Oyunculuklar ve yönetim de öyle. Filmin sonunda seyircinin psikolojisinin de düşünlmüş olduğu anlaşılmaktadır. Filmin sonundaki geri dönüş bunu açıkça gösteriyor.",pozitif
"Film, basit görünen hikayesinde bile boşluk bırakmadan ilerliyor ve buruk bir tat bırakıyor, insanın içinde. Oyunculuklara gelince genel olarak iyi; fakat Levent Üzümcünün performansının diğerlerinden bir adım önde olduğunu belirtmek gerek.",pozitif
"Türk filmlerine sadece Türk filmi olduğu için pohpohlanmasına karşı olan biri olmama rağmen, diyorum ki mutlaka gidin, hem eğlenmek için illa gülmek gerekmediğini hem de dünyada sizinkilerden başka aklınıza gelmeyen ne dertler kederler varmış görün. Yılmaz Erdoğan ve arkadaşlarını tebrik ediyorum.",pozitif
"Sonu biraz aceleye gelmiş gibi. Ancak bir bütün olarak bakıldığında gerçekten de Yılmaz Erdoğan'ın en başarılı filmi. Çok sağlam bir sinema dili var ve Yılmaz Erdoğan'ın oyunculuğu muhteşem. Yılmaz Erdoğan'ın bütün filmlerinin komedi olması gerektiği sonucuna nerden varıyor insanlar, anlamıyorum. Recep İvedik filmi değil ki bu, niye komik değil diye şikayet ediyor herkes? Sapasağlam adam gibi bir film.",pozitif
"Film gerçekten çok güzeldi. Yapılmış en iyi Türk yapımlarından biriydi. Uzun zamandır bu tarz filmleri bekliyorduk. Bu film terör belasını güzel bir şekilde işlediği gibi, seyir zevki yüksek bir filmdi. Sinemaya gidip de izlemeyen arkadaşlara şiddetle tavsiye ederim.",pozitif
Kötü yorumlara bakarak sakın filme gitmemezlik yapmayın. Tamam film komik değil ama kendine has bir lezzeti var. Çok doğal çok gerçek. Bana eski Kemal Sunal filmlerini anımsattı.oyunculuk hakkında zaten konuşmaya gerek yok Yılmaz Erdoğan'ın gözleri fakir bakmış resmen. Şiddetle tavsiye ederim!,pozitif
Çok ilginç ve değişik bir film. Fazla geveze bir film olmasına rağmen ben bayağı beğendim ödül alması tartışılabilir ama bence fazla diyaloglara takılmazsanız rahatlıkla ilenecek film. Önür Erkan ve Kadir Çermik rollerinde çok başarılılar.,pozitif
Kesinlikle izleyin pişman olmassınız. Öncelikle görüntü yönetmenini tebrik etmek istiyorum gerçekçilik ve açılar muhteşem tam bi görsel şölen.  Filmin başı çok güzel ama ortalara doğru sıkıyor gereğinden fazla uzamış o kısım yada doldurulamamış. Ama öyle bi final var ki yerinize çivileyecek gerçekten böylesi bi durumda olup da bu kadar tarafsız olmalarını beklemezdim. Ne propoganda ne nefret var %100 gerçekler gerçekten uyuyanlar varsa bu film sizi uyandırcak yeni bir Nefes alcaksınız kesinlikle gidin.,pozitif
"Film her yönüyle - oyunculuk, kurgu, senaryo - başarılı.. Fakat filmin en zayıf halkası olan Selen Seyven yerine başka biri oynasaydı çok daha iyi olurdu. Nerden nasıl bu filmin kadrosuna girmiş anlayabilmiş değilim zaten.8/10",pozitif
Filme gelince izlemeden yapılan yorumları ve öbyargıları hemen kibarca bir kenara atıyor izler izmelez. İnsanın kendini tam göbeğinde hissedeceği sıcak ve bizden bir hikayesi var. Hafta sonnu üç filme birden gittim ama bir tek abimden hem gülerek hem de ağlayarak çıkan insnaları görünce anladım ki güzel bir film olnuş ve iyi ki seyretmişim. Şiddetle öneririm görmenizi zira türünde çok deneme var çok azı film olmayı başarailiyor.,pozitif
"arkadaşlar bence bu film çok sıcak bir kardeşlik öyküsü.. ailesinde zihinsel engelli bir yakını olan herkezi etkileyebilecek çok önemli detaylara sahip. öncelikle bu insanların ailelerinden başka kimsesi olmadığını devletimizin bu konudaki eksikliğini,bu özel insanların bize anlamsız gelen ve bizi korkutan bazı hareketlerinin ardında hiçde korkunç hislerinin olmadığını gösteriyor. ve en önemlisi 3 aralık dünya engelliler gününde yapılan galası ile bu konuya dikkat çekmesi bence önemliydi. teşekkürler başarılı ve akıcı bir film. ",pozitif
bu filmin dramı çok güzeldi yeri geldiğinde güldürüp yeri geldiğinde üzünlendiren güzel bir yapım mustafa üstündağ iyidi onu zaten muro karakteriyle beyendik ve değişik filmlerde oynamasıda güzel olmuş çok iyidi diyebiliriz sonu iyi bir senaryo dramıylada iyiydi ,pozitif
