Yorum,Tahmin Sınıfı,Tahmin Etiketi
"Ankara'nın Keçiören ilçesi Kafkaslar Mahallesi'nde saat 08.45 sıralarında okula gitmek için evinden çıkan ve sokak köpeklerinin saldırısına uğrayan 4. sınıf öğrencisi Tunahan Yılmaz ağır yaralanmıştı. Olayın ardından Tunahan Yılmaz, Keçiören Eğitim ve Araştırma Hastanesi'ne kaldırıldı. Hacettepe Üniversitesi Çocuk Hastanesi'ne sevk edilen Yılmaz'ın yoğun bakım bölümünde tedavisine devam ediliyor. Yaşam mücadelesi veren küçük çocuğun babası Halil Yılmaz, aileye yapılan ""Çocuk bu yolda neden tek?"" eleştirilerine yanıt verdi. Annenin rahatsız olduğu için o gün okula götüremediğini belirten baba, ""Ablası götürecekti, 'Ben kendim giderim abla, yakın zaten' dedi"" diye konuştu.""ÇOCUĞUMUN VÜCUDUNUN ÇOĞU YERİNDE ET KALMAMIŞ""Tunahan Yılmaz'ın babası Halil Yılmaz, olayın gerçekleştiği gün yaşadıklarını anlattı. Baba Yılmaz, ""Ben sabah 6 çeyrek civarı işteydim, iş yerim biraz uzak olduğu için beni 09.30 sıralarında okul müdürümüz aradı. Acil Sanatoryum Hastanesi'ne gitmemi söyledi. Ben de 'Hayırdır' dedim. O da bana 'Tunahan köpek saldırısına uğradı, acil gitmeniz lazım' dediler. Beni daha sonra yolda tekrar aradılar, Hacettepe'ye sevk oldu diye. Ben Hacettepe'ye geldim. Yer olmadığı için o anlık alamadılar. Sanatoryum'a gittim, orada ambulansa bindirilirken gördüm çocuğumu. Çocuğum paramparça gitti, çocuğumun vücudunun çoğu yerinde et kalmamış yemişlerdi çocuğumu. Tüm yetkililere sesleniyorum; can mı gitmesi lazım. Bir ağaç dikin, kaç yılda yetişiyor bu ağaç. Hayvanseverlere de sesleniyorum; şu anda  Türkiye'de hayvan sevgisi insan sevgisinden öne geçmiş durumda. Türkiye hangi çağda? Burası Türkiye'nin başkenti değil mi? Bağlum çok ıssız bir yer değil ki. Annesi çok rahatsız olduğu için o gün götüremedi. Ablası götürecekti, 'Ben kendim giderim abla, yakın zaten' dedi"" şeklinde konuştu.""9 YAŞINDA ÇOCUK HAYVANA NASIL TEKME ATSIN"" Bazı hayvanseverlerin Tunahan'ın köpeklere saldırdığı iddialarına cevap veren baba Yılmaz, ""İnşaatta çalışan bir insanım, Sakarya'dan geleli yaklaşık bir buçuk ay oldu. Benim çocuğum 150 TL ile Yağcılar'dan 2 kilometre Akyazı'ya yürüme gittiler. Köpeğin yavruları var diye mama almışlardı. Çocuklarım o kadar hayvan canlıdır, insan canlıdır. Kesinlikle saygısızlık yapmazlar. Kesinlikle benim çocuğum hayvana yok tekme attı, o oldu bu oldu. 9 yaşında çocuk hayvana nasıl tekme atsın. Öyle bir şey yok. Böyle  haberler çıkıyormuş. İnsan üzülüyor. Benim canım yandı, kimsenin de canı yanmasın. İnşallah bundan sonra bir çözüm bulunur. Yeter ki can gitmesin. Allah kimseye evlat acısı vermesin, evladını o şekil hiç göstermesin"" ifadelerini kullandı.""ÇOCUĞUMUN SAĞLAM BİR YERİ YOK"" Oğlunun sağlık durumu hakkında bilgi veren Yılmaz, ""Yoğun bakımda makineye bağlı bir şekilde şu anda, bilinci kapalı. Tunahan'ın çok doku kaybı var. Çocuğumun sağlam bir yeri yok. Şu an sırtının kanaması durduruldu. Kollarında eksiklik var, bacaklarında eksiklik var, kafatasında komple eksiklik var, yüzlerinde eksiklik var. Yani kulakları falan, vücudu hep sargılı zaten"" diye konuştu.Sahipsiz köpek sorununa bir çözüm bulunması gerektiğini dile getiren Halil Yılmaz, Türkiye'de çok fazla hayvanseverin olduğunu belirterek, ""İnanılmaz derecede hayvansever var. Orada 50-60 tane hayvan var. Bunun çözümü basit; yapmaları gereken oradaki hayvanların bir tanesini alıp evine götürüp beslemek. Bir tanesini alacaksın evine koyacaksın. Kafese ya da balkona koymak güzel bir çözüm olabilir"" diye konuştu.""BÜYÜK BİR İNSAN BİLE KURTULAMAZ BU SALDIRILARDAN""Olayın yaşandığı mahallede başıboş köpekler nedeniyle vatandaşların işe gitmeye korktuğunu aktaran baba Yılmaz, ""Biz bile korkuyuz, sabah saatlerinde inanılmaz derecede zorlanıyor insanlar. Geçen gün iki tane köpek bizim arkadaşa saldırdı. Onlar büyük olduğu için kendini koruyabiliyor. Büyük küçük demiyorlar saldırıyorlar. Büyük bir insan bile kurtulamaz bu saldırılardan"" dedi.Kaynak: İhlas Haber Ajansı /  Güncel  Türkiye Ankara Çocuk Baba Hayvan Hakları Güvenlik Yaşam Güncel Haberler,
",2,magazin
"Mersin'de tartıştığı erkek arkadaşı tarafından evinde silahla vurulan 24 yaşındaki genç kız, olay yerinde hayatını kaybetti. Annesinin gözünün önünde öldürülen kadının cenazesi otopsi için hastaneye kaldırılırken, taksiyle kaçan zanlıyı yakalama çalışmaları sürüyor.Olay, sabah saatlerinde  Mersin'in merkez Akdeniz ilçesine bağlı Kiremithane Mahallesinde meydana geldi. İddiaya göre, sabah erken saatlerinde İrem Sağlam'ın (24) evine gelen Mehmet T. A. (27), henüz bilinmeyen bir nedenle kız arkadaşıyla tartışmaya başladı. Tartışma sırasında öfkesine hakim olamayan Mehmet T. A., yanında getirdiği tabancayla İrem Sağlam'ın kafasına tek el ateş etti. SAĞA SOLA ATEŞ EDEREK KAÇTI Evde annesi ile kardeşleri bulunan Sağlam'ın ailesi durumu polise ve 112'ye bildirirken, zanlı bir kaç el daha sağa sola ateş ederek olay yerinden taksiyle kaçtı. İhbar üzerine adrese giden sağlık ekipleri Sağlam'ın hayatını kaybettiğini belirledi.ZANLIYI YAKALAMA ÇALIŞMALARI SÜRÜYOR Kaçan zanlının yakalanması için çalışma başlatan Mersin İl Emniyet Müdürlüğü Asayiş Şube Müdürlüğüne bağlı Cinayet Büro Amirliği ekipleri, çevredeki güvenlik kameralarını incelemeye aldı. Sağlam'ın cenazesi otopsi yapılmak üzere Mersin Üniversitesi Tıp Fakültesi Hastanesine kaldırılırken, olayla ilgili soruşturma sürüyor. Kaynak: İhlas Haber Ajansı /  3. Sayfa  Akdeniz Mersin Suç 3. Sayfa Politika Güncel Haberler,
",5,spor
"Sivas'ta, bariyerlere çarpan otomobilin yaralı sürücüsüne yardım etmek için duran ve otomobillerinden inen 2 kişi, hafif ticari aracın çarpması sonucu yaşamını yitirdi.YARDIM ETMEK İÇİN DURAN 2 KİŞİYE ARAÇ ÇARPTIDün saat 18.00 sıralarında Sivas- Kayseri karayolu Mescitli köyü yakınlarında F.Y. (30) yönetimindeki 50 SB 370 plakalı otomobil, sürücüsünün direksiyon kontrolünü yitirmesi sonucu bariyerlere çarptı. Kazayı gören 34 KFY 49 plakalı otomobilin sürücüsü Raşit Özdemir (57) ve yanında yolcu olarak bulunan Mert Eren Öcal (29), kaza yapan sürücüye yardım etmek için durdu. Bu sırada aynı yönden gelen M.İ (48) yönetimindeki 34 GZY 822 plakalı hafif ticari araç ise duramayarak yol kenarında yaya halinde olan Raşit Özdemir ve Mert Eren Öcal'a çarptı. İKİSİ DE HASTANEDE CAN VERDİİhbar üzerine bölgeye polis ve sağlık ekipleri sevk edildi. Kazada Raşit Özdemir, Mert Eren Öcal ve F.Y., yaralandı. Yaralılardan Sivas Numune Hastanesi'ne kaldırılan Raşit Özdemir ile Sivas Cumhuriyet Üniversitesi Tıp Fakültesi Hastanesi'ne kaldırılan Mert Eren Öcal doktorların yaptığı tüm müdahalelere rağmen kurtarılamayarak hayatını kaybetti. Kazayla ilgili soruşturma başlatıldı. Kaynak: Demirören Haber Ajansı /  Güncel  Mert Eren Kayseri Sivas Trafik Kazaları Yaşam Güncel Haberler,
",3,saglik
"İsrailli bir savaş muhabiri, Gazze kentinin doğusundaki Eş-  Şucaiyye Mahallesi'ne giren İsrail askerlerinin, Hamas'ın askeri kanadı İzzeddin el-Kassam Tugaylarının kazdığı tünel ve kuyular karşısında şaşkına döndüğünü ve bir meydan okumayla karşılaştığını belirtti.İSRAİL ASKERLERİYLE OPERASYONA KATILIP İZLENİMLERİNİ YAZDIİsrail merkezli Walla internet sitesinin savaş muhabiri Amir Buhbot, cuma günü, Şucaiyye'de İsrail askerlerine eşlik ettiği sırada gördüklerini ve izlenimlerini anlatan bir yazı kaleme aldı. Yazıya göre, 188. Tugayı Komutan Yardımcısı Yarbay Odid, Şucaiyye'ye vardıklarında askerlere, ""Filistinli silahlı kişilerin, her yere tünel ve kuyu kazmaktan kaçınmadığını, bölgede gerçekten de tünel ve kuyular bulduklarını ve daha fazlasının da olduğunu düşündüklerini"" söyledi.Odid, ""Şucaiyye'de, düşman, antitank füzeleri, havan topları ve intihar bombacılarının"" olduğunu dile getirdi.""ORTA DOĞU'NUN EN TEHLİKELİ MAHALLESİ""Buhbot, yazısına şöyle devam etti: ""Bir Merkava tankı yavaşlıyor ve eskiden 3 katlı olduğu anlaşılan bir binanın yakınında duruyor. Şu anki haline ise bina demek bir tür iltifat olur. Neredeyse Şucaiyye'nin toprağına değecek kadar aşağı doğru sarkmış. Binalar ile tanklar arasında 188. Tugayı komutan yardımcısı, etrafında silahlı askerler olduğu halde duruyor. Tam bir teyakkuz halindeler. Onlara (askerlere) 'silahlı bir birliğin ve silahlı bir insansız hava aracının (SİHA) ansızın nereden çıkacağını bilemezsiniz.' diyor. Onu (Odid) pür dikkat dinlemelisin ki hiç dinmeyen patlama sesleri, makineli tüfeklerin gürültüsü ve sürekli çalışan topçu bataryalarının sesinde boğulmasın söyledikleri. Burası, Orta Doğu'nun en tehlikeli mahallelerinden biri. Mayınlarla dolu ve bir yerden bir yere sürekli hareket halinde olan bir düşmana karşı sürekli uyarı yapılıyor.""""HAMAS'IN EN GÜÇLÜ TABURU BU MAHALLEDE""Geçen pazartesi gününden bu yana Şucaiyye'de bulunan 188. Tugay'ın muharebe ekibinde, ""605. Mühendislik Taburu, 890. Paraşütçü Taburu, piyade birlikleri ve komutanlarından oluşan 906. Tabur ve 74. Zırhlı Tabur'un bulunduğunu aktaran Buhbot, yazısını şöyle sürdürdü: ""Bölgeyi avucunun içi gibi bilen kıdemli bir güvenlik görevlisi bana, 'Söyleyeceklerimi iyi belle. Şucaiyye'de saklanan çok güçlü bir tabur var. Bu, Hamas'ın, askeri kanadının en güçlü taburlarından' dedi. Bu, İsrail ordusu için bir meydan okuma. Bunun benzerini, 2014'teki 'Koruyucu Hat Operasyonu'nda Golani Tugayının Şucaiyye'de kara saldırısı gerçekleştirdiğinde yaşadık. Golani Tugayı Şucaiyye'ye girdi ve neyle karşılaşacağını bilmemesinin bedelini ağır ödedi.Şucaiyye, tarihsel olarak şer ve zulmün çok olduğu bir yer olarak biliniyor. Oron Şaul'u da (İsrail'in, öldürüldüğünü ancak cesedinin Hamas'ın elinde kaldığını söylediği asker) orada kaçırdılar. Gökyüzündeki herhangi bir hareket veya hafif bir ses, Hamas'a ait bir drone ile saldırı olabileceği korkusuyla, bakışların birbirine çevrilmesine ve tüfek namlularının doğrultulmasına neden oluyor.""Kaynak: AA /  Güncel  Orta Doğu Şucaiyye İsrail Gazze İsrail Orta Doğu Dünya Güncel Haberler,
",4,siyaset
"Husiler'in, ""Milliyeti ne olursa olsun, İsrail limanlarına giden her gemi hedefimizde olacak."" tehdidinden sonra İsrail Başbakanı Binyamin Netanyahu, ABD Başkanı Joe Biden'a çağrıda bulundu. Netanyahu, ""Ya harekete geç, ya da İsrail yapacak."" dedi.HUSİLER: İSRAİL LİMANLARINA GİDEN GEMİLERİ HEDEF ALACAĞIZ Gazze'deki katliam nedeniyle daha önce de sık sık İsrail gemilerini hedef alan Yemen'deki İran destekli Husiler, bir tehdit daha savurdu. Husiler,  Gazze'ye insani geçişin izin verilmemesi durumunda İsrail gemilerine saldırıların süreceğini açıkladı. Husiler'in Askeri Sözcüsü Yahya Sare'e, ""Milliyeti ne olursa olsun, İsrail limanlarına giden her gemi hedefimizde olacak. Gemilerin geçişini engelleyeceğiz. Deniz taşımacılığının güvenliğini sağlamak amacıyla tüm gemileri ve şirketleri İsrail limanlarıyla iş yapmamaları konusunda uyarıyoruz."" dedi.Husiler'in Askeri Sözcüsü Yahya Sare'eNETANYAHU'DAN JOE BIDEN'A ÇAĞRI: HAREKETE GEÇHusiler'in tehdidinin ardından İsrail Başbakanı Binyamin Netanyahu, ABD'nin kapısını çaldı. ABD Başkanı Joe Biden'a uyarıda bulunan Netanyahu, gereğini yapmasını istedi. Netanyahu, ""Ya harekete geç, ya da İsrail yapacak."" ifadelerini kullandı.Joe Biden-Binyamin NetanyahuHUSİLER, SIK SIK İSRAİL GEMİLERİNİ HEDEF ALIYORHusiler,  Gazze'de katliama son vermeyen İsrail gemilerini sık sık hedef alıyor. Geçtiğimiz haftalarda Kızıldeniz'de USS Carney isimli ABD savaş gemisi ile iki ticari gemi Yemen'deki İran destekli Husiler'in saldırısına uğramıştı. Gemilerin İsrail bağlantılı olduğunu söyleyen Husiler, saldırıyı  Gazze'deki katliam nedeniyle yaptıklarını belirtmişti. Yemen'deki Husiler, 31 Ekim'den bu yana İsrail'e yönelik füze ve kamikaze insansız hava araçlarıyla (İHA) birçok kez saldırı düzenlediklerini açıklamıştı. Husiler, 19 Kasım'da ise Kızıldeniz'de İsrailli gemileri hedef alma tehdidinde bulunmuş, ardından İsrailli şirkete ait bir ticari gemiyi Kızıldeniz'de ele geçirdiğini duyurmuştu.İSRAİL'İN GAZZE'Yİ İŞGALİNDE SON DURUMHamas'ın silahlı kanadı İzzeddin el-Kassam Tugayları, 7 Ekim sabahı, İsrail'in ""Filistinlilere ve başta Mescid-i Aksa olmak üzere kutsal değerlerine yönelik sürekli ihlallerine karşılık verme"" gerekçesiyle kapsamlı saldırı düzenlerken İsrail ordusu da Gazze Şeridi'ne yoğun hava bombardımanı başlattıİsrail'de 7 Ekim'deki saldırılarda 310'dan fazlası asker olmak üzere 1200 İsraillinin öldüğü, 5 bin 132 kişinin yaralandığı duyuruldu.GAZZE'DE CAN KAYBI 17 BİNİ GEÇTİİsrail'in Gazze Şeridi'ne saldırılarında en az 7 bin 112'si çocuk, 4 bin 885'i kadın olmak üzere 17 bin 487 Filistinli öldü. Enkaz altında binlerce ölü olduğu bildiriliyor.İsrail ordusu halkın sığındığı hastane ve eğitim kurumlarını hedef alarak sivil altyapıyı tahrip ederken, karadan işgal sürecinde 93 askeri öldü.Çatışmalara 24 Kasım'da 4 günlüğüne verilen ve daha sonra 3 gün daha uzatılan ""insani arada"" 81 İsrailli ve 240 Filistinli esir karşılıklı serbest bırakıldı. Öte yandan İsrail binlerce Filistinliyi alıkoyup hapsetmeye devam etti.İşgal altındaki Batı Şeria ve Kudüs'te de İsrail güçleri ve yasadışı Yahudi yerleşimcilerin saldırılarında 272 Filistinli hayatını kaybetti.İsrail ordusu ile Lübnan Hizbullahı'nın sınır hattındaki düşük yoğunluklu çatışmalarında ise 23 Lübnanlı sivil, 97 Hizbullah mensubu ve 6 İsrail askeri öldü.Haberler.com /  Turan Yiğittekin -  Uluslararası İlişkiler  Joe Biden İsrail Gazze Yemen Uluslararası İlişkiler Dünya Güncel Haberler,
",4,siyaset
"Kanal D ekranlarında yayınlanan Çok Güzel Hareketler programı, siyasi mizah içeren skeçleri nedeniyle gündemde kalmaya devam ediyor. Güldür Güldür Show, İstanbul Büyükşehir Belediye Başkanı Ekrem İmamoğlu'nun taklidine yer verildi. Kısa sürede sosyal medyada gündem olan skeç, alkış topladı.HAREKETLERİNİ BİREBİR TAKLİT ETTİGenç oyuncu kadrosuyla dikkat çeken ve gündeme dair konuları ele alan programın bir skecinde sınıftaki bir kavgayı yatıştıran başkan, diğer sınıfların yaramazlığından bahsederek sınıf arkadaşlarını sakinleştirdi. Başkanın sözleri ve hareketleri ise İstanbul Büyükşehir Belediye Başkanı Ekrem İmamoğlu'na benzetildi. Skeç, izleyenlerde de tam not aldı. Genel sanat yönetmenliğini Yılmaz Erdoğan'ın, sunuculuğunu Eser Yenenler'in yaptığı Çok Güzel Hareketler 2'nin kadrosunda Arif Güloğlu, Atakan Çelik, Ayşegül Yılmaz, Birsel Kılınçcı, Cemile Canyurt, Cenan Adıgüzel, Ebru Yücel ve Emre Arslan gibi oyuncular yer alıyor. Ecem Altan   Haberler.com -  Televizyon  Ekrem İmamoğlu Televizyon Magazin Kültür Sanat Haberler,
",2,magazin
"Husiler'in, ""Milliyeti ne olursa olsun, İsrail limanlarına giden her gemi hedefimizde olacak."" tehdidinden sonra İsrail Başbakanı Binyamin Netanyahu, ABD Başkanı Joe Biden'a çağrıda bulundu. Netanyahu, ""Ya harekete geç, ya da İsrail yapacak."" dedi.HUSİLER: İSRAİL LİMANLARINA GİDEN GEMİLERİ HEDEF ALACAĞIZ Gazze'deki katliam nedeniyle daha önce de sık sık İsrail gemilerini hedef alan Yemen'deki İran destekli Husiler, bir tehdit daha savurdu. Husiler,  Gazze'ye insani geçişin izin verilmemesi durumunda İsrail gemilerine saldırıların süreceğini açıkladı. Husiler'in Askeri Sözcüsü Yahya Sare'e, ""Milliyeti ne olursa olsun, İsrail limanlarına giden her gemi hedefimizde olacak. Gemilerin geçişini engelleyeceğiz. Deniz taşımacılığının güvenliğini sağlamak amacıyla tüm gemileri ve şirketleri İsrail limanlarıyla iş yapmamaları konusunda uyarıyoruz."" dedi.Husiler'in Askeri Sözcüsü Yahya Sare'eNETANYAHU'DAN JOE BIDEN'A ÇAĞRI: HAREKETE GEÇHusiler'in tehdidinin ardından İsrail Başbakanı Binyamin Netanyahu, ABD'nin kapısını çaldı. ABD Başkanı Joe Biden'a uyarıda bulunan Netanyahu, gereğini yapmasını istedi. Netanyahu, ""Ya harekete geç, ya da İsrail yapacak."" ifadelerini kullandı.Joe Biden-Binyamin NetanyahuHUSİLER, SIK SIK İSRAİL GEMİLERİNİ HEDEF ALIYORHusiler,  Gazze'de katliama son vermeyen İsrail gemilerini sık sık hedef alıyor. Geçtiğimiz haftalarda Kızıldeniz'de USS Carney isimli ABD savaş gemisi ile iki ticari gemi Yemen'deki İran destekli Husiler'in saldırısına uğramıştı. Gemilerin İsrail bağlantılı olduğunu söyleyen Husiler, saldırıyı  Gazze'deki katliam nedeniyle yaptıklarını belirtmişti. Yemen'deki Husiler, 31 Ekim'den bu yana İsrail'e yönelik füze ve kamikaze insansız hava araçlarıyla (İHA) birçok kez saldırı düzenlediklerini açıklamıştı. Husiler, 19 Kasım'da ise Kızıldeniz'de İsrailli gemileri hedef alma tehdidinde bulunmuş, ardından İsrailli şirkete ait bir ticari gemiyi Kızıldeniz'de ele geçirdiğini duyurmuştu.İSRAİL'İN GAZZE'Yİ İŞGALİNDE SON DURUMHamas'ın silahlı kanadı İzzeddin el-Kassam Tugayları, 7 Ekim sabahı, İsrail'in ""Filistinlilere ve başta Mescid-i Aksa olmak üzere kutsal değerlerine yönelik sürekli ihlallerine karşılık verme"" gerekçesiyle kapsamlı saldırı düzenlerken İsrail ordusu da Gazze Şeridi'ne yoğun hava bombardımanı başlattıİsrail'de 7 Ekim'deki saldırılarda 310'dan fazlası asker olmak üzere 1200 İsraillinin öldüğü, 5 bin 132 kişinin yaralandığı duyuruldu.GAZZE'DE CAN KAYBI 17 BİNİ GEÇTİİsrail'in Gazze Şeridi'ne saldırılarında en az 7 bin 112'si çocuk, 4 bin 885'i kadın olmak üzere 17 bin 487 Filistinli öldü. Enkaz altında binlerce ölü olduğu bildiriliyor.İsrail ordusu halkın sığındığı hastane ve eğitim kurumlarını hedef alarak sivil altyapıyı tahrip ederken, karadan işgal sürecinde 93 askeri öldü.Çatışmalara 24 Kasım'da 4 günlüğüne verilen ve daha sonra 3 gün daha uzatılan ""insani arada"" 81 İsrailli ve 240 Filistinli esir karşılıklı serbest bırakıldı. Öte yandan İsrail binlerce Filistinliyi alıkoyup hapsetmeye devam etti.İşgal altındaki Batı Şeria ve Kudüs'te de İsrail güçleri ve yasadışı Yahudi yerleşimcilerin saldırılarında 272 Filistinli hayatını kaybetti.İsrail ordusu ile Lübnan Hizbullahı'nın sınır hattındaki düşük yoğunluklu çatışmalarında ise 23 Lübnanlı sivil, 97 Hizbullah mensubu ve 6 İsrail askeri öldü.Haberler.com /  Turan Yiğittekin -  Uluslararası İlişkiler  Joe Biden İsrail Gazze Yemen Uluslararası İlişkiler Dünya Güncel Haberler,
",4,siyaset
"Beşiktaş'ı deplasmanda 3-1 yenen Fenerbahçe'de teknik direktör İsmail Kartal, mücadelenin ardından açıklamalarda bulundu. ""DOMİNE ETTİK""Maçı değerlendiren Kartal, ""Galibiyetimizden dolayı bütün oyuncularımı, taraftarlarımızı tebrik ediyorum. Her zaman oynamak istediğimiz futbol bu. Çalıştık, konuştuk ve oyunu baştan sona domine ettik. Sakatların aramıza dönmesiyle birlikte güzel bir gece geçirdik. 3 puan almak için geldik. Hak ederek, güzel oyunla 3 puan aldığımız için çok mutluyum"" dedi.""LİGİN LİDERİ BİZİZ""Takımın gidişatı hakkında konuşan başarılı antrenör, ""Bizim sezon başından beri oynadığımız net bir futbol var. Futbolda bazen sizin elinizde olmayan nedenler ortaya çıkabiliyor. Aynı mevkiden sakatlıklar, orta sahada aynı mevkiden sakatlıklar... Bazen zorlanıyoruz. Zorlandığımız dönemde 1-2 takılmalar oldu. Bu ligin lideri durumundayız. Çok mutluyuz. Bu oyunumuzu, pozitif futbolumuzu geliştirebilmek için her hafta çalışıyoruz. Oyuncularımızla birlikte her hafta daha iyisi için yoğunlaşıyoruz. Kendimize yakışır futbolla galip geldik. Çok fazla bir şey konuşmaya gerek yok. Yola devam ediyoruz"" ifadelerini kullandı.""İZİN VERDİM""Oyunculara izin verdiğini söyleyen Kartal, ""İçeride bu galibiyetten sonra oyuncularım izin istediler. Normalde izin vermiyorum, pazar günü izinliler, hak ettiler. Salı günü Trnava maçıyla çalışmalara devam edeceğiz. Onlara izin veriyoruz ama bize izin yok. Ben ekibimle birlikte buradan Samandıra'ya döneceğiz ve çalışmalarımıza devam edeceğiz"" şeklinde konuştu.Kaynak: Haberler.com /  Futbol  İsmail Kartal Fenerbahçe Beşiktaş Futbol Spor Haberler,
",5,spor
"Derbide ezeli rakibi Fenerbahçe'ye 3-1 yenilen Beşiktaş'ta teknik direktör Rıza Çalımbay, maçın ardından açıklamalarda bulundu.""BİZİMKİLER HATA YAPTI""Maçı değerlendiren Çalımbay, ""Maça kötü başlamadık, iyi başladık. Denk bir maç oluyordu. Sonraları gittikçe bizimkiler hata yaptı. Hepsi kapasitesinin altında oynadı. Söylediğimiz şeyleri yapamadılar. Yapmamamız gereken hatalar yaptık. Üzücü bir maç. Mükemmel bir taraftar gelmiş. Herkes için önemli bir maçtı. Beklentinin altında bir futbol oynadık. Bu kadar beklemiyorduk. Hazırlık dönemi falan yapmadık biz. Oyuncuları da görmedik. Geldik direkt. Eksik yönler çoktu. Bir an önce bunları bitirmek kolay değil. Lider oyuncuların kendilerine çekidüzen vermesi gerekiyor, sahanın içinde dışında. Bunları yaparsak kendimize geliriz, gelmemek için bir neden yok. Bazı arkadaşların oynadığı oyun bu değil. daha üst seviyeye çıkabilirler"" dedi.""TAKIMIN YARISI OLMAZDI""Oyuncularına sert çıkan deneyimli çalıştırıcı, ""Takım sakat diyorum, kimse inanmıyor. Ben ilk geldiğimde 10 sakat vardı. Arada milli maç oldu ama çalıştıramadık. Daha 1 ayım dolmadı. Takımla sezon başı geçirsem olay daha farklı olurdu belki de bu takımın yarısı olmazdı. Takımın içine girdiğinizde ummadığınız şeyler karşınıza çıkıyor. Ne olursa olsun bu takımın bu oyunu oynamaması lazımdı. Oyuncu arkadaşların performanslarını göstermesi lazımdı. Aldığımız takım fizik olarak istediğimiz gibi değildi. Sakat oyunculara istediğimiz antrenmanları yaptıramadık. Ben gerçeği söylüyorum. Bu maçta çok şey beklediğimiz arkadaşlardan istediğimiz verimi alamadık. İçeriye 1-1 girdik ama bazı sıkıntılardan dolayı maç istediğimiz gibi olmadı"" şeklinde konuştu.Kaynak: Haberler.com /  Spor  Rıza Çalımbay Fenerbahçe Beşiktaş Spor Haberler,
",5,spor
"Ankara'nın Keçiören ilçesi Kafkaslar Mahallesi'nde okula giderken sokak köpeklerinin saldırısına uğrayan 9 yaşındaki Tunahan'ın ağır yaralanması tüm Türkiye'nin yüreğini yaktı. Olayın ardından hastaneye kaldırılan ve hala yaşam mücadelesi veren küçük çocuğun tedavisi sürürken, başıboş köpekler sorunu yeniden gündeme geldi. Konuya dair bir açıklama yapan Cumhurbaşkanı Erdoğan, artan şikayetlerin farkında olduklarını ve sorunu mutlaka çözeceklerini söyledi. ""ARTAN ŞİKAYETLERİN FARKINDAYIZ, SORUNU ÇÖZECEĞİZ"" Cumhurbaşkanı Erdoğan, ""Başıboş sokak köpeklerinin zarar verdiği insanlarımızın haklarını korumanın da görevimiz olduğunu bilinciyle hareket ediyoruz. Başıboş sokak hayvanları ile ilgili artan şikayetlerin farkındayız. Önceki gün Ankara'da bir evladımızın ağır yaralandığı elim hadise yüreğimizi dağladı… Bu sorunu inancımız, kültürümüz ve şefkat medeniyetimizin bize vazettiği ilkeler çerçevesinde mutlaka çözüme kavuşturacağız."" dedi. KÜÇÜK ÇOCUĞUN DURUMU İYİYE GİDİYORÖte yandan küçük çocuğun son durumuyla ilgili bir açıklama yapan baba Halil Yılmaz, oğlunun durumun iyiye gittiğini söyledi. Tunahan'ı yoğun bakım bölümünde kısa süreli ziyaret ettiğini dile getiren Yılmaz, ""Şu anda az önce yanımdaydım. Yoğun bakıma ünitesine girdim. Doktorlarımız sağ olsun elinden gelen her şeyi yapıyorlar. Dualarını eksik etmesinler bizden. Allah dualarını kabul etsin. Benim çocuğum bugün gördüğümde nefes almaya çalışıyordu. Daha önce makineye bağlıydı, böyle bir tepki vermiyordu şu anda nefes almaya çalışıyor, yaralarını pansuman etmeye çalışıyorlar. Doktorlarımız daha iyi bilir, bu şekilde bilgi verdiler, iyiye gidiyor"" ifadelerini kullandı.""ÇOCUĞUMU RESMEN YEMİŞLER""Baba olayla ilgili daha önce yaptığı açıklamada ise ""Bugün benim evladımın yarın sizin evladınızın başına gelir. Bu durmaz. Geçenlerde sabah işe gidiyordum. Sabah 3 tane çocuğa saldırdılar. Sabah o saatte okula mı gidilir? Bana bile saldırdılar. Ürperdim. Doktorlar durumunun kritik olduğunu söylüyorlar. Benim çocuğumun yaşaması Allah'ın bir mucizesi olur. Benim çocuğumu ısırmamışlar, resmen yemişler."" demişti.  Mesut Şahin   Haberler.com -  Hukuk  Ankara Hukuk 3. Sayfa Yaşam Politika Güncel Haberler,
",2,magazin
